ethnic_group,Sex,Admission_Method,age,Der_Financial_Year,spells,los,patients
A,1,Elective,0-17,2025/26,176977,81838,110786
A,1,NonElective,0-17,2025/26,244935,355479,177714
A,1,Other,0-17,2025/26,150710,417675,145519
B,1,Elective,0-17,2025/26,905,1186,501
B,1,NonElective,0-17,2025/26,1256,2055,873
B,1,Other,0-17,2025/26,896,2649,876
C,1,Elective,0-17,2025/26,21294,11977,12984
C,1,NonElective,0-17,2025/26,30353,44547,22803
C,1,Other,0-17,2025/26,27637,76137,26820
D,1,Elective,0-17,2025/26,3421,1663,2083
D,1,NonElective,0-17,2025/26,4647,6714,3458
D,1,Other,0-17,2025/26,3810,11451,3683
E,1,Elective,0-17,2025/26,2198,1048,1275
E,1,NonElective,0-17,2025/26,3017,4605,2248
E,1,Other,0-17,2025/26,2837,7885,2752
F,1,Elective,0-17,2025/26,3807,1508,2042
F,1,NonElective,0-17,2025/26,4845,7422,3579
F,1,Other,0-17,2025/26,4992,13130,4812
G,1,Elective,0-17,2025/26,6651,4103,4163
G,1,NonElective,0-17,2025/26,9388,17514,7055
G,1,Other,0-17,2025/26,9020,28272,8745
H,1,Elective,0-17,2025/26,9467,4608,5275
H,1,NonElective,0-17,2025/26,15229,24564,11263
H,1,Other,0-17,2025/26,16743,55107,16116
J,1,Elective,0-17,2025/26,16923,10344,8536
J,1,NonElective,0-17,2025/26,24001,47920,16563
J,1,Other,0-17,2025/26,16745,60416,16268
K,1,Elective,0-17,2025/26,5523,2858,3118
K,1,NonElective,0-17,2025/26,8211,15181,5760
K,1,Other,0-17,2025/26,6680,25536,6491
L,1,Elective,0-17,2025/26,10956,7418,5726
L,1,NonElective,0-17,2025/26,13878,25574,10087
L,1,Other,0-17,2025/26,11439,39998,10957
M,1,Elective,0-17,2025/26,2800,1868,1668
M,1,NonElective,0-17,2025/26,2788,6783,2077
M,1,Other,0-17,2025/26,2167,8436,2079
N,1,Elective,0-17,2025/26,13032,7723,6777
N,1,NonElective,0-17,2025/26,14919,32288,11129
N,1,Other,0-17,2025/26,16502,64116,15902
P,1,Elective,0-17,2025/26,3840,2261,2158
P,1,NonElective,0-17,2025/26,4329,9494,3287
P,1,Other,0-17,2025/26,2576,11211,2450
R,1,Elective,0-17,2025/26,1398,770,821
R,1,NonElective,0-17,2025/26,1356,2360,1030
R,1,Other,0-17,2025/26,1000,2774,948
S,1,Elective,0-17,2025/26,15699,13675,8064
S,1,NonElective,0-17,2025/26,15209,31302,11468
S,1,Other,0-17,2025/26,7828,26077,7571
A,1,Elective,18-39,2025/26,323285,168888,187872
A,1,NonElective,18-39,2025/26,235836,644934,174692
